# timestamp_ms interaction_rate
1697873327000 2.690572e+04
1697873337000 2.727301e+04
1697873347000 2.727559e+04
1697873357000 2.726184e+04
1697873367000 2.722492e+04
1697873377000 2.723953e+04
1697873387000 2.721997e+04
1697873397000 2.717968e+04
1697873407000 2.718479e+04
1697873417000 2.714123e+04
1697873427000 2.709813e+04
1697873437000 2.711999e+04
1697873447000 2.705086e+04
1697873457000 2.702359e+04
1697873467000 2.698506e+04
1697873477000 2.700538e+04
1697873487000 2.694885e+04
1697873497000 2.688659e+04
1697873507000 2.685253e+04
1697873517000 2.684716e+04
1697873527000 2.681879e+04
1697873537000 2.676136e+04
1697873547000 2.675567e+04
1697873557000 2.671936e+04
1697873567000 2.665288e+04
1697873577000 2.667493e+04
1697873587000 2.663822e+04
1697873597000 2.657583e+04
1697873607000 2.658501e+04
1697873617000 2.656010e+04
1697873627000 2.646963e+04
1697873637000 2.642104e+04
1697873647000 2.633283e+04
1697873657000 2.643958e+04
1697873667000 2.643897e+04
1697873677000 2.635281e+04
1697873687000 2.631069e+04
1697873697000 2.629350e+04
1697873707000 2.627875e+04
1697873717000 2.622119e+04
1697873727000 2.622370e+04
1697873737000 2.616963e+04
1697873747000 2.615504e+04
1697873757000 2.607411e+04
1697873767000 2.604107e+04
1697873777000 2.599569e+04
1697873787000 2.606367e+04
1697873797000 2.681495e+04
1697873807000 2.682338e+04
1697873817000 2.674457e+04
1697873827000 2.665160e+04
1697873837000 2.660692e+04
1697873847000 2.653689e+04
1697873857000 2.648951e+04
1697873867000 2.643594e+04
1697873877000 2.639131e+04
1697873887000 2.636025e+04
1697873897000 2.630539e+04
1697873907000 2.629136e+04
1697873917000 2.628890e+04
1697873927000 2.624066e+04
1697873937000 2.616027e+04
1697873947000 2.612553e+04
1697873957000 2.609272e+04
1697873967000 2.602960e+04
1697873977000 2.601764e+04
1697873987000 2.599285e+04
1697873997000 2.647732e+04
1697874007000 2.655628e+04
1697874017000 2.654027e+04
1697874027000 2.650729e+04
1697874037000 2.648267e+04
1697874047000 2.643746e+04
1697874057000 2.643079e+04
1697874067000 2.632205e+04
1697874077000 2.630113e+04
1697874087000 2.636451e+04
1697874097000 2.636251e+04
1697874107000 2.625181e+04
1697874117000 2.622683e+04
1697874127000 2.624941e+04
1697874137000 2.620576e+04
1697874147000 2.611061e+04
1697874157000 2.611437e+04
1697874167000 2.610262e+04
1697874177000 2.605522e+04
1697874187000 2.597540e+04
1697874197000 2.643968e+04
1697874207000 2.682263e+04
1697874217000 2.680124e+04
1697874227000 2.672390e+04
1697874237000 2.669938e+04
1697874247000 2.669828e+04
1697874257000 2.667760e+04
1697874267000 2.661299e+04
1697874277000 2.659954e+04
1697874287000 2.655986e+04
1697874297000 2.653097e+04
1697874307000 2.649691e+04
1697874317000 2.644859e+04
1697874327000 2.643188e+04
1697874337000 2.642088e+04
1697874347000 2.640702e+04
1697874357000 2.637053e+04
1697874367000 2.630778e+04
1697874377000 2.627325e+04
1697874387000 2.624152e+04
1697874397000 2.619494e+04
1697874407000 2.621043e+04
1697874417000 2.619391e+04
1697874427000 2.616708e+04
1697874437000 2.612456e+04
1697874447000 2.607856e+04
1697874457000 2.604462e+04
1697874467000 2.598851e+04
1697874477000 2.623638e+04
1697874487000 2.671951e+04
1697874497000 2.669135e+04
1697874507000 2.661775e+04
1697874517000 2.665241e+04
1697874527000 2.667434e+04
1697874537000 2.661795e+04
1697874547000 2.659476e+04
1697874557000 2.656563e+04
1697874567000 2.651995e+04
1697874577000 2.648834e+04
1697874587000 2.645561e+04
1697874597000 2.644611e+04
1697874607000 2.638840e+04
1697874617000 2.635220e+04
1697874627000 2.637129e+04
1697874637000 2.635088e+04
1697874647000 2.631398e+04
1697874657000 2.628173e+04
1697874667000 2.626102e+04
1697874677000 2.621494e+04
1697874687000 2.618770e+04
1697874697000 2.615484e+04
1697874707000 2.612811e+04
1697874717000 2.610014e+04
1697874727000 2.607066e+04
1697874737000 2.614925e+04
1697874747000 2.670149e+04
1697874757000 2.664513e+04
1697874767000 2.662569e+04
1697874777000 2.660382e+04
1697874787000 2.660524e+04
1697874797000 2.657155e+04
1697874807000 2.653121e+04
1697874817000 2.650747e+04
1697874827000 2.648481e+04
1697874837000 2.644948e+04
1697874847000 2.639671e+04
1697874857000 2.640072e+04
1697874867000 2.636627e+04
1697874877000 2.632260e+04
1697874887000 2.630846e+04
1697874897000 2.627318e+04
1697874907000 2.625666e+04
1697874917000 2.624821e+04
1697874927000 2.621237e+04
1697874937000 2.614836e+04
1697874947000 2.611770e+04
1697874957000 2.615363e+04
1697874967000 2.612569e+04
1697874977000 2.607497e+04
1697874987000 2.605493e+04
1697874997000 2.604864e+04
1697875007000 2.666124e+04
1697875017000 2.667644e+04
1697875027000 2.666836e+04
1697875037000 2.663457e+04
1697875047000 2.661163e+04
1697875057000 2.657503e+04
1697875067000 2.656978e+04
1697875077000 2.652610e+04
1697875087000 2.648109e+04
1697875097000 2.647395e+04
1697875107000 2.645667e+04
1697875117000 2.642646e+04
1697875127000 2.639725e+04
1697875137000 2.637266e+04
1697875147000 2.634059e+04
1697875157000 2.633600e+04
1697875167000 2.631410e+04
1697875177000 2.629534e+04
1697875187000 2.625107e+04
1697875197000 2.623747e+04
1697875207000 2.620753e+04
1697875217000 2.619461e+04
1697875227000 2.616462e+04
1697875237000 2.612248e+04
1697875247000 2.609350e+04
1697875257000 2.607561e+04
1697875267000 2.603705e+04
1697875277000 2.603246e+04
1697875287000 2.647372e+04
1697875297000 2.659945e+04
1697875307000 2.654145e+04
1697875317000 2.652384e+04
1697875327000 2.651187e+04
1697875337000 2.648974e+04
1697875347000 2.643069e+04
1697875357000 2.641761e+04
1697875367000 2.640336e+04
1697875377000 2.634523e+04
1697875387000 2.632043e+04
1697875397000 2.634284e+04
1697875407000 2.628151e+04
1697875417000 2.627337e+04
1697875427000 2.621665e+04
1697875437000 2.620156e+04
1697875447000 2.618727e+04
1697875457000 2.614602e+04
1697875467000 2.614420e+04
1697875477000 2.612649e+04
1697875487000 2.607717e+04
1697875497000 2.605428e+04
1697875507000 2.613949e+04
1697875517000 2.622173e+04
1697875527000 2.620256e+04
1697875537000 2.618100e+04
1697875547000 2.616523e+04
1697875557000 2.613241e+04
1697875567000 2.613200e+04
1697875577000 2.609376e+04
1697875587000 2.607265e+04
1697875597000 2.605749e+04
1697875607000 2.585656e+04
1697875617000 2.486477e+04
1697875627000 2.487413e+04
1697875637000 2.579980e+04
1697875647000 2.594312e+04
1697875657000 2.561476e+04
1697875667000 2.342504e+04
1697875677000 2.543175e+04
1697875687000 2.360382e+04
